age,job,marital,education,has_credit,avg_year_balance,house_loan,loan,contact_type,day,month,last_contact_in_sec,num_compaign_contact,num_days_last_contact,num_prev_contact,prev_compaign_outcome,y
30,unemployed,married,primary,0,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,services,married,secondary,0,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
35,management,single,tertiary,0,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,management,married,tertiary,0,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no
59,blue-collar,married,secondary,0,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,management,single,tertiary,0,747,no,no,cellular,23,feb,141,2,176,3,failure,no
36,self-employed,married,tertiary,0,307,yes,no,cellular,14,may,341,1,330,2,other,no
39,technician,married,secondary,0,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,0,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
43,services,married,primary,0,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
39,services,married,secondary,0,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no
43,admin.,married,secondary,0,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no
36,technician,married,tertiary,0,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no
20,student,single,secondary,0,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
31,blue-collar,married,secondary,0,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no
40,management,married,tertiary,0,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no
56,technician,married,secondary,0,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
37,admin.,single,tertiary,0,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
25,blue-collar,single,primary,0,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
31,services,married,secondary,0,132,no,no,cellular,7,jul,148,1,152,1,other,no
38,management,divorced,unknown,0,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no
42,management,divorced,tertiary,0,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no
44,services,single,secondary,0,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
44,entrepreneur,married,secondary,0,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no
26,housemaid,married,tertiary,0,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no
41,management,married,tertiary,0,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no
55,blue-collar,married,primary,0,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
67,retired,married,unknown,0,696,no,no,telephone,17,aug,119,1,105,2,failure,no
56,self-employed,married,secondary,0,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
53,admin.,married,secondary,0,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
68,retired,divorced,secondary,0,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes
31,technician,married,secondary,0,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
59,management,married,secondary,0,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
32,management,single,tertiary,0,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
49,technician,married,tertiary,0,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
42,admin.,divorced,secondary,0,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
78,retired,divorced,primary,0,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes
32,blue-collar,married,secondary,0,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
33,management,married,secondary,0,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
23,services,single,tertiary,0,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
38,management,single,tertiary,0,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
36,management,single,tertiary,0,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
52,blue-collar,married,secondary,0,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
32,technician,married,tertiary,0,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
32,technician,single,tertiary,0,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no
34,management,single,tertiary,0,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
55,blue-collar,married,primary,0,145,no,no,telephone,2,feb,59,3,5,2,other,no
26,blue-collar,married,primary,0,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,entrepreneur,single,primary,1,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
61,admin.,married,unknown,0,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
45,blue-collar,divorced,primary,0,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
37,technician,single,secondary,0,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
38,technician,single,secondary,0,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
34,technician,married,tertiary,0,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
53,blue-collar,married,secondary,0,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
48,admin.,married,secondary,0,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
57,management,married,secondary,0,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
33,self-employed,single,tertiary,0,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
36,retired,single,secondary,0,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
