age,job,marital,education,has_credit,avg_year_balance,contact_type,day,month,num_compaign_contact,num_prev_contact,prev_compaign_outcome,target
58,4,1,2,0,2143,3,5,8,1,0,2,0
44,9,2,1,0,29,3,5,8,1,0,2,0
33,2,1,1,0,2,3,5,8,1,0,2,0
47,1,1,3,0,1506,3,5,8,1,0,2,0
33,11,2,3,0,1,3,5,8,1,0,2,0
35,4,1,2,0,231,3,5,8,1,0,2,0
28,4,2,2,0,447,3,5,8,1,0,2,0
42,2,0,2,1,2,3,5,8,1,0,2,0
58,5,1,0,0,121,3,5,8,1,0,2,0
43,9,2,1,0,593,3,5,8,1,0,2,0
41,0,0,1,0,270,3,5,8,1,0,2,0
29,0,2,1,0,390,3,5,8,1,0,2,0
53,9,1,1,0,6,3,5,8,1,0,2,0
58,9,1,3,0,71,3,5,8,1,0,2,0
57,7,1,1,0,162,3,5,8,1,0,2,0
51,5,1,0,0,229,3,5,8,1,0,2,0
45,0,2,3,0,13,3,5,8,1,0,2,0
57,1,1,0,0,52,3,5,8,1,0,2,0
60,5,1,0,0,60,3,5,8,1,0,2,0
33,7,1,1,0,0,3,5,8,1,0,2,0
28,1,1,1,0,723,3,5,8,1,0,2,0
56,4,1,2,0,779,3,5,8,1,0,2,0
32,1,2,0,0,23,3,5,8,1,0,2,0
25,7,1,1,0,50,3,5,8,1,0,2,0
40,5,1,0,0,0,3,5,8,1,0,2,0
44,0,1,1,0,-372,3,5,8,1,0,2,0
39,4,2,2,0,255,3,5,8,1,0,2,0
52,2,1,1,0,113,3,5,8,1,0,2,0
46,4,2,1,0,-246,3,5,8,2,0,2,0
36,9,2,1,0,265,3,5,8,1,0,2,0
57,9,1,1,0,839,3,5,8,1,0,2,0
49,4,1,2,0,378,3,5,8,1,0,2,0
60,0,1,1,0,39,3,5,8,1,0,2,0
59,1,1,1,0,0,3,5,8,1,0,2,0
51,4,1,2,0,10635,3,5,8,1,0,2,0
57,9,0,1,0,63,3,5,8,1,0,2,0
25,1,1,1,0,-7,3,5,8,1,0,2,0
53,9,1,1,0,-3,3,5,8,1,0,2,0
36,0,0,1,0,506,3,5,8,1,0,2,0
37,0,2,1,0,0,3,5,8,1,0,2,0
44,7,0,1,0,2586,3,5,8,1,0,2,0
50,4,1,1,0,49,3,5,8,2,0,2,0
60,1,1,3,0,104,3,5,8,1,0,2,0
54,5,1,1,0,529,3,5,8,1,0,2,0
58,5,1,3,0,96,3,5,8,1,0,2,0
36,0,2,0,0,-171,3,5,8,1,0,2,0
58,6,1,2,0,-364,3,5,8,1,0,2,0
44,9,1,1,0,0,3,5,8,2,0,2,0
55,9,0,1,0,0,3,5,8,1,0,2,0
29,4,2,2,0,0,3,5,8,1,0,2,0
54,1,1,1,0,1291,3,5,8,1,0,2,0
48,4,0,2,0,-244,3,5,8,1,0,2,0
32,4,1,2,0,0,3,5,8,1,0,2,0
42,0,2,1,0,-76,3,5,8,1,0,2,0
24,9,2,1,0,-103,3,5,8,1,0,2,0
38,2,2,2,0,243,3,5,8,1,0,2,0
38,4,2,2,0,424,3,5,8,1,0,2,0
47,1,1,3,0,306,3,5,8,1,0,2,0
40,1,2,3,0,24,3,5,8,1,0,2,0
46,7,1,0,0,179,3,5,8,1,0,2,0
32,0,1,2,0,0,3,5,8,1,0,2,0
53,9,0,1,0,989,3,5,8,1,0,2,0
57,1,1,0,0,249,3,5,8,1,0,2,0
33,7,1,1,0,790,3,5,8,1,0,2,0
49,1,1,3,0,154,3,5,8,1,0,2,0
51,4,1,2,0,6530,3,5,8,1,0,2,0
60,5,1,2,0,100,3,5,8,1,0,2,0
59,4,0,2,0,59,3,5,8,1,0,2,0
55,9,1,1,0,1205,3,5,8,2,0,2,0
35,1,2,1,0,12223,3,5,8,1,0,2,0
57,1,1,1,0,5935,3,5,8,1,0,2,0
31,7,1,1,0,25,3,5,8,1,0,2,0
54,4,1,1,0,282,3,5,8,1,0,2,0
55,1,1,0,0,23,3,5,8,1,0,2,0
43,9,1,1,0,1937,3,5,8,1,0,2,0
53,9,1,1,0,384,3,5,8,1,0,2,0
44,1,1,1,0,582,3,5,8,1,0,2,0
55,7,0,1,0,91,3,5,8,1,0,2,0
49,7,0,1,0,0,3,5,8,1,0,2,0
55,7,0,1,1,1,3,5,8,1,0,2,0
45,0,2,1,0,206,3,5,8,1,0,2,0
47,7,0,1,0,164,3,5,8,1,0,2,0
42,9,2,1,0,690,3,5,8,1,0,2,0
59,0,1,1,0,2343,3,5,8,1,0,2,1
46,6,1,2,0,137,3,5,8,1,0,2,0
51,1,1,0,0,173,3,5,8,2,0,2,0
56,0,1,1,0,45,3,5,8,1,0,2,1
41,9,1,1,0,1270,3,5,8,1,0,2,1
46,4,0,1,0,16,3,5,8,2,0,2,0
57,5,1,1,0,486,3,5,8,2,0,2,0
42,4,2,1,0,50,3,5,8,1,0,2,0
30,9,1,1,0,152,3,5,8,2,0,2,0
60,0,1,1,0,290,3,5,8,1,0,2,0
60,1,1,3,0,54,3,5,8,1,0,2,0
57,2,0,1,0,-37,3,5,8,1,0,2,0
